id,ts,operation,target_table,target_id,payload_json,source_url,note
27,2026-07-31 12:52:42,retype-event,events,53,"{""event_id"": 53, ""project_id"": ""porto-lobito-leao-ouro-2022"", ""event_type_old"": ""completion"", ""event_type_new"": ""expansion"", ""source_id"": 27, ""source_url"": ""https://jornal24horas.ao/economia/filda-2022porto-do-lobito-vence-premio-de-melhor-participacao-dos-transportes-e-logistica/"", ""score_old"": 80, ""score_new"": 75, ""breakdown"": {""base"": 60, ""events"": 13, ""evidence"": 2, ""delay"": 0, ""status_penalty"": 0, ""only_announce"": 0, ""version"": ""v1-2026-07""}, ""note"": ""award mistyped as completion; re-typed per integrity audit 2026-07-31""}",https://jornal24horas.ao/economia/filda-2022porto-do-lobito-vence-premio-de-melhor-participacao-dos-transportes-e-logistica/,award mistyped as completion; re-typed per integrity audit 2026-07-31
28,2026-07-31 12:52:42,retype-event,events,55,"{""event_id"": 55, ""project_id"": ""sonangol-leao-ouro-2022"", ""event_type_old"": ""completion"", ""event_type_new"": ""expansion"", ""source_id"": 28, ""source_url"": ""https://www.facebook.com/eventosarena.angola/photos/durante-a-cerimonia-de-premios-filda-2022-a-sonangol-destacou-se-como-melhor-par/1870072219852414/"", ""score_old"": 80, ""score_new"": 75, ""breakdown"": {""base"": 60, ""events"": 13, ""evidence"": 2, ""delay"": 0, ""status_penalty"": 0, ""only_announce"": 0, ""version"": ""v1-2026-07""}, ""note"": ""award mistyped as completion; re-typed per integrity audit 2026-07-31""}",https://www.facebook.com/eventosarena.angola/photos/durante-a-cerimonia-de-premios-filda-2022-a-sonangol-destacou-se-como-melhor-par/1870072219852414/,award mistyped as completion; re-typed per integrity audit 2026-07-31
29,2026-07-31 12:52:42,retype-event,events,65,"{""event_id"": 65, ""project_id"": ""sonangol-leao-ouro-2024"", ""event_type_old"": ""completion"", ""event_type_new"": ""expansion"", ""source_id"": 44, ""source_url"": ""https://www.sonangol.co.ao/filda-2024-leao-de-ouro-volta-a-galeria-da-sonangol/"", ""score_old"": 80, ""score_new"": 75, ""breakdown"": {""base"": 60, ""events"": 13, ""evidence"": 2, ""delay"": 0, ""status_penalty"": 0, ""only_announce"": 0, ""version"": ""v1-2026-07""}, ""note"": ""award mistyped as completion; re-typed per integrity audit 2026-07-31""}",https://www.sonangol.co.ao/filda-2024-leao-de-ouro-volta-a-galeria-da-sonangol/,award mistyped as completion; re-typed per integrity audit 2026-07-31
30,2026-07-31 12:52:42,retype-event,events,67,"{""event_id"": 67, ""project_id"": ""unitel-leao-ouro-2024"", ""event_type_old"": ""completion"", ""event_type_new"": ""expansion"", ""source_id"": 46, ""source_url"": ""https://www.facebook.com/unitel.ao/posts/915796813924630/"", ""score_old"": 80, ""score_new"": 75, ""breakdown"": {""base"": 60, ""events"": 13, ""evidence"": 2, ""delay"": 0, ""status_penalty"": 0, ""only_announce"": 0, ""version"": ""v1-2026-07""}, ""note"": ""award mistyped as completion; re-typed per integrity audit 2026-07-31""}",https://www.facebook.com/unitel.ao/posts/915796813924630/,award mistyped as completion; re-typed per integrity audit 2026-07-31
31,2026-07-31 12:52:42,retype-event,events,69,"{""event_id"": 69, ""project_id"": ""pay4all-leao-ouro-2024"", ""event_type_old"": ""completion"", ""event_type_new"": ""expansion"", ""source_id"": 48, ""source_url"": ""https://pay4all.ao/pay4all-vence-premio-leao-de-ouro-para-melhor-participacao-na-filda-2024-na-categoria-economia-digital/"", ""score_old"": 80, ""score_new"": 75, ""breakdown"": {""base"": 60, ""events"": 13, ""evidence"": 2, ""delay"": 0, ""status_penalty"": 0, ""only_announce"": 0, ""version"": ""v1-2026-07""}, ""note"": ""award mistyped as completion; re-typed per integrity audit 2026-07-31""}",https://pay4all.ao/pay4all-vence-premio-leao-de-ouro-para-melhor-participacao-na-filda-2024-na-categoria-economia-digital/,award mistyped as completion; re-typed per integrity audit 2026-07-31
32,2026-07-31 12:52:43,retype-event,events,76,"{""event_id"": 76, ""project_id"": ""sonangol-leao-ouro-2025"", ""event_type_old"": ""completion"", ""event_type_new"": ""expansion"", ""source_id"": 122, ""source_url"": ""https://www.sonangol.co.ao/filda-2025-i-leao-de-ouro-permanece-na-galeria-da-sonangol/"", ""score_old"": 80, ""score_new"": 75, ""breakdown"": {""base"": 60, ""events"": 13, ""evidence"": 2, ""delay"": 0, ""status_penalty"": 0, ""only_announce"": 0, ""version"": ""v1-2026-07""}, ""note"": ""award mistyped as completion; re-typed per integrity audit 2026-07-31""}",https://www.sonangol.co.ao/filda-2025-i-leao-de-ouro-permanece-na-galeria-da-sonangol/,award mistyped as completion; re-typed per integrity audit 2026-07-31
33,2026-07-31 12:52:43,retype-event,events,78,"{""event_id"": 78, ""project_id"": ""etu-energias-leao-ouro-2025"", ""event_type_old"": ""completion"", ""event_type_new"": ""expansion"", ""source_id"": 123, ""source_url"": ""https://etuenergias.co.ao/noticias/etu-energias-recebe-leao-de-ouro-na-filda-2025-e-mencao-honrosa-pela-sua-trajectoria-de-excellencia-no-sector-petrolifero/178"", ""score_old"": 80, ""score_new"": 75, ""breakdown"": {""base"": 60, ""events"": 13, ""evidence"": 2, ""delay"": 0, ""status_penalty"": 0, ""only_announce"": 0, ""version"": ""v1-2026-07""}, ""note"": ""award mistyped as completion; re-typed per integrity audit 2026-07-31""}",https://etuenergias.co.ao/noticias/etu-energias-recebe-leao-de-ouro-na-filda-2025-e-mencao-honrosa-pela-sua-trajectoria-de-excellencia-no-sector-petrolifero/178,award mistyped as completion; re-typed per integrity audit 2026-07-31
34,2026-07-31 12:52:43,retype-event,events,87,"{""event_id"": 87, ""project_id"": ""huatong-aipex-awards-2026"", ""event_type_old"": ""completion"", ""event_type_new"": ""expansion"", ""source_id"": 54, ""source_url"": ""https://www.verangola.net/va/pt/072026/Economia/49508/Huatong-Angola-Industry-conquista-tres-premios-e-e-a-grande-vencedora-dos-AIPEX-Awards.htm"", ""score_old"": 95, ""score_new"": 88, ""breakdown"": {""base"": 60, ""events"": 23, ""evidence"": 5, ""delay"": 0, ""status_penalty"": 0, ""only_announce"": 0, ""version"": ""v1-2026-07""}, ""note"": ""award mistyped as completion; re-typed per integrity audit 2026-07-31""}",https://www.verangola.net/va/pt/072026/Economia/49508/Huatong-Angola-Industry-conquista-tres-premios-e-e-a-grande-vencedora-dos-AIPEX-Awards.htm,award mistyped as completion; re-typed per integrity audit 2026-07-31
35,2026-07-31 12:52:43,retype-event,events,90,"{""event_id"": 90, ""project_id"": ""omataplo-aipex-2026"", ""event_type_old"": ""completion"", ""event_type_new"": ""expansion"", ""source_id"": 54, ""source_url"": ""https://www.verangola.net/va/pt/072026/Economia/49508/Huatong-Angola-Industry-conquista-tres-premios-e-e-a-grande-vencedora-dos-AIPEX-Awards.htm"", ""score_old"": 80, ""score_new"": 75, ""breakdown"": {""base"": 60, ""events"": 13, ""evidence"": 2, ""delay"": 0, ""status_penalty"": 0, ""only_announce"": 0, ""version"": ""v1-2026-07""}, ""note"": ""award mistyped as completion; re-typed per integrity audit 2026-07-31""}",https://www.verangola.net/va/pt/072026/Economia/49508/Huatong-Angola-Industry-conquista-tres-premios-e-e-a-grande-vencedora-dos-AIPEX-Awards.htm,award mistyped as completion; re-typed per integrity audit 2026-07-31
36,2026-07-31 12:52:43,retype-event,events,92,"{""event_id"": 92, ""project_id"": ""lobito-atlantic-railway-aipex"", ""event_type_old"": ""completion"", ""event_type_new"": ""expansion"", ""source_id"": 54, ""source_url"": ""https://www.verangola.net/va/pt/072026/Economia/49508/Huatong-Angola-Industry-conquista-tres-premios-e-e-a-grande-vencedora-dos-AIPEX-Awards.htm"", ""score_old"": 80, ""score_new"": 75, ""breakdown"": {""base"": 60, ""events"": 13, ""evidence"": 2, ""delay"": 0, ""status_penalty"": 0, ""only_announce"": 0, ""version"": ""v1-2026-07""}, ""note"": ""award mistyped as completion; re-typed per integrity audit 2026-07-31""}",https://www.verangola.net/va/pt/072026/Economia/49508/Huatong-Angola-Industry-conquista-tres-premios-e-e-a-grande-vencedora-dos-AIPEX-Awards.htm,award mistyped as completion; re-typed per integrity audit 2026-07-31
